date,added_ticker,added_security,removed_ticker,removed_security
2022-04-11,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc."
2022-06-08,VICI,Vici Properties,CERN,Cerner
2022-06-21,ON,ON Semiconductor,IPGP,IPG Photonics
2022-06-21,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A)
2022-06-21,,,UA,Under Armour (Class C)
2022-09-19,CSGP,CoStar Group,PVH,PVH
2022-09-19,INVH,Invitation Homes,PENN,Penn Entertainment
2022-10-03,EQT,EQT Corporation,DRE,Duke Realty
2022-10-03,PCG,PG&E,CTXS,Citrix Systems
2022-10-12,TRGP,Targa Resources,NLSN,Nielsen Holdings
2022-11-01,ACGL,Arch Capital Group,TWTR,Twitter
2022-12-15,MBC,MasterBrand,,
2022-12-19,,,MBC,MasterBrand
2022-12-19,FSLR,First Solar,FBHS,Fortune Brands Home & Security
2022-12-22,STLD,Steel Dynamics,ABMD,Abiomed
2023-01-04,GEHC,GE HealthCare,,
2023-01-05,,,VNO,Vornado Realty Trust
2023-03-15,BG,Bunge Global,SBNY,Signature Bank
2023-03-15,PODD,Insulet,SIVB,SVB Financial Group
2023-03-20,FICO,Fair Isaac,LUMN,Lumen Technologies
2023-05-04,AXON,Axon Enterprise,FRC,First Republic Bank
2023-06-20,PANW,Palo Alto Networks,DISH,Dish Network
2023-08-25,KVUE,Kenvue,AAP,Advance Auto Parts
2023-09-18,ABNB,Airbnb,NWL,Newell Brands
2023-09-18,BX,Blackstone,LNC,Lincoln National Corporation
2023-10-02,VLTO,Veralto,,
2023-10-03,,,DXC,DXC Technology
2023-10-18,LULU,Lululemon Athletica,ATVI,Activision Blizzard
2023-10-18,HUBB,Hubbell,OGN,Organon & Co.
2023-12-18,UBER,Uber,SEE,Sealed Air
2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge
2023-12-18,JBL,Jabil,ALK,Alaska Air Group
2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation
2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation
2024-04-01,SOLV,Solventum,,
2024-04-02,GEV,GE Vernova,,
2024-04-03,,,VFC,VF Corporation
2024-04-03,,,XRAY,Dentsply Sirona
2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources
2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc."
2024-06-24,CRWD,CrowdStrike,CMA,Comerica
2024-06-24,KKR,KKR,RHI,Robert Half
2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group
2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories
2024-09-23,DELL,Dell Technologies,ETSY,Etsy
2024-09-30,AMTM,Amentum,,
2024-10-01,,,BBWI,"Bath & Body Works, Inc."
2024-11-26,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil
2024-12-23,LII,Lennox International,CTLT,Catalent
2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum
2024-12-23,APO,Apollo Global Management,QRVO,Qorvo
2025-03-24,EXE,Expand Energy,FMC,FMC Corporation
2025-03-24,WSM,"Williams-Sonoma, Inc.",CE,Celanese
2025-03-24,TKO,TKO Group Holdings,TFX,Teleflex
2025-03-24,DASH,DoorDash,BWA,BorgWarner
2025-05-19,COIN,Coinbase,DFS,Discover Financial
2025-07-09,DDOG,Datadog,JNPR,Juniper Networks
2025-07-18,TTD,Trade Desk (The),ANSS,Ansys
2025-07-23,XYZ,"Block, Inc.",HES,Hess Corporation
2025-08-28,IBKR,Interactive Brokers,WBA,Walgreens Boots Alliance
2025-09-22,APP,AppLovin,MKTX,MarketAxess
2025-09-22,HOOD,Robinhood Markets,CZR,Caesars Entertainment
2025-09-22,EME,Emcor,ENPH,Enphase Energy
2025-10-30,SOLS,Solstice Advanced Materials,,
2025-10-31,,,KMX,CarMax
2025-11-03,Q,Qnity Electronics,,
2025-11-04,,,EMN,Eastman Chemical Co.
2025-11-28,SNDK,Sandisk,IPG,Interpublic Group
2025-12-11,ARES,Ares Management,K,Kellanova
2025-12-22,CVNA,Carvana,SOLS,Solstice Advanced Materials
2025-12-22,CRH,CRH,LKQ,LKQ Corporation
2025-12-22,FIX,Comfort Systems USA,MHK,Mohawk Industries
2026-02-09,CIEN,Ciena,DAY,Dayforce
2026-03-23,SATS,EchoStar,PAYC,Paycom
2026-03-23,COHR,Coherent Corp.,LW,Lamb Weston
2026-03-23,LITE,Lumentum,MOH,Molina Healthcare
2026-03-23,VRT,Vertiv,MTCH,Match Group
2026-04-09,CASY,Casey's,HOLX,Hologic
2026-05-07,VEEV,Veeva Systems,CTRA,Coterra Energy
